row_number	paiddeposit	scholarship_yes_no	Type_of_scholarship_offered	Female	Race	HS_rank	HS_class_size	HS_Quintile	HS_CODE	HS_NAME	SAT_math	SAT_verbal	ACT	Honors_college_eligible	distancefromPitt	state	Number_of_family_alumni	father_alumni	grand_alumni	mother_alumni	sibling_alumni	step_parent_alumni	other_family_alumni	SAT_composite	ACT_as_SAT	Max_Test_Score	Training	from_PA
7	1	0		0.00	white	190.0	281	4/5	392835	FRANKLIN_REGIONAL_SR_HI	620.0	560.0		no	14.2289464505682000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1180		1180	0.00	1.00
12	0	0		0.00	white	111.0	223	3/5	393655	CENTRAL_CATHOLIC_HIGH_S	550.0	600.0		no	7.1621335385584500	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1150		1150	0.00	1.00
19	1	0		0.00	white	109.0	371	2/5	051830	WESTCHESTER_HIGH_SCHOOL	640.0	550.0		no	232.3633823128400000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1190		1190	0.00	1.00
23	1	0		0.00	Asian	88.0	266	2/5	390527	CEDAR_CLIFF_HIGH_SCHOOL	620.0	520.0		no	163.4622960923340000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1140		1140	0.00	1.00
25	0	0		0.00	white				390870	HOLY_GHOST_PREPARATORY	550.0	650.0		no	261.5341512732140000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1200		1200	0.00	1.00
28	0	0		1.00	white	59.0	382	1/5	392655	PENN_MANOR_HIGH_SCHOOL	480.0	460.0	20.0	no	192.4933588766760000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	940	950	950	0.00	1.00
30	1	0		1.00	white	88.0	255	2/5	392705	RINGGOLD_HIGH_SCHOOL	490.0	530.0		no	17.3658768214303000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1020		1020	0.00	1.00
33	1	0		0.00	white				393321	GERMANTOWN_ACADEMY	530.0	570.0		no	241.9643927459280000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1100		1100	0.00	1.00
38	1	0		0.00	white	23.0	221	1/10	395035	WARREN_AREA_HIGH_SCHOOL	670.0	610.0		yes	105.7608834765660000	PA	1	0.00	0.00	0.00	1.00	0.00	0.00	1280		1280	0.00	1.00
39	1	1	U1	1.00	white				394133	RADNOR_HIGH_SCHOOL	690.0	540.0		no	245.9193909284000000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1230		1230	0.00	1.00
44	1	0		0.00	Asian	100.0	224	3/5	393658	CHARTIERS_VALLEY_HIGH_S	580.0	560.0		no	5.4107491933566400	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1140		1140	0.00	1.00
55	0	1	C6	1.00	not_indicated	13.0	390	1/10	365647	THOMAS_WORTHINGTON_HIGH	680.0	720.0	30.0	yes	162.9428150898540000	OH	0	0.00	0.00	0.00	0.00	0.00	0.00	1400	1340	1400	0.00	0.00
56	0	0		0.00	white				393620	FOX_CHAPEL_AREA_HIGH_SC	570.0	490.0		no	4.3027580355889400	PA	2	0.00	0.00	1.00	0.00	0.00	1.00	1060		1060	0.00	1.00
57	0	1	U4	1.00	white	20.0	211	1/10	491345	WEIR_HIGH_SCHOOL	490.0	550.0	25.0	no	32.3898011490725000	WV	2	0.00	0.00	0.00	0.00	1.00	1.00	1040	1150	1150	0.00	0.00
62	0	1	C2	0.00	white	5.0	156	1/10	394580	FOREST_HILLS_SR_HIGH_SC	790.0	600.0		yes	63.2276656876079000	PA	2	1.00	0.00	0.00	0.00	0.00	1.00	1390		1390	0.00	1.00
65	0	0		0.00	white	84.0	345	2/5	394555	GOVERNOR_MIFFLIN_SR_HIG	530.0	570.0		no	211.0808049059080000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1100		1100	0.00	1.00
