PERIMETER,MAJOR_AXIS,MINOR_AXIS,ECCENTRICITY,EQDIASQ,SOLIDITY,CONVEX_AREA,EXTENT,ASPECT_RATIO,ROUNDNESS,COMPACTNESS,SHAPEFACTOR_1,SHAPEFACTOR_2,SHAPEFACTOR_3,SHAPEFACTOR_4,MeanRR,MeanRG,MeanRB,StdDevRR,StdDevRG,StdDevRB,SkewRR,SkewRG,SkewRB,KurtosisRR,KurtosisRG,KurtosisRB,EntropyRR,EntropyRG,EntropyRB,ALLdaub4RR,ALLdaub4RG,ALLdaub4RB
2385.511,849.6287,548.4377,0.7638,681.0944,0.9874,368969,0.7596,1.5492,0.8045,0.8016,0.0023,0.0015,0.6426,0.9955,109.0743,92.334,95.129,33.3844,26.9478,19.9159,0.1723,0.3216,0.3835,2.5413,2.701,4.7956,-45702238208.0,-31309285376,-31791349760,54.5422,46.1706,47.5687
2360.467,919.113,479.2314,0.8533,661.2138,0.9657,355591,0.6926,1.9179,0.7744,0.7194,0.0027,0.0014,0.5175,0.9926,41.0743,55.5105,66.4196,22.1577,20.6369,17.6879,2.7797,2.4298,0.8084,13.2536,10.8915,5.0327,-6173152768.0,-10177111040,-13946608640,20.5354,27.7553,33.2095
1059.046,378.1419,270.6614,0.6983,319.2416,0.9883,80990,0.7521,1.3971,0.8968,0.8442,0.0047,0.0034,0.7127,0.9958,108.7848,106.1162,100.9971,31.1041,26.1951,29.3865,-0.3851,-0.2607,-0.1599,2.2247,2.4509,2.2165,-9834114048.0,-9082079232,-8377428480,54.3915,53.0591,50.5
2279.7581,770.8477,654.0494,0.5292,708.2852,0.9945,396190,0.7632,1.1786,0.9527,0.9188,0.002,0.0017,0.8443,0.995,69.0368,77.9682,76.9407,23.3782,22.4107,26.5838,1.1239,1.9387,1.6654,5.7796,9.1424,7.8056,-18411845632.0,-23242752000,-23591233536,34.5177,38.9835,38.4695
1843.916,647.9982,479.8817,0.672,556.0906,0.9906,245181,0.7818,1.3503,0.8977,0.8582,0.0027,0.002,0.7365,0.9945,133.0381,125.3597,113.8121,38.7604,35.6419,28.3122,-0.6166,-0.4509,-0.3694,2.4534,2.2759,2.5079,-46650236928.0,-40748339200,-32199612416,66.5225,62.6833,56.9092
2630.8369,899.1757,735.891,0.5746,809.5639,0.9928,518474,0.7463,1.2219,0.9346,0.9003,0.0017,0.0014,0.8106,0.9905,72.6798,78.1545,77.379,30.8151,30.1954,30.9551,0.601,0.5004,0.4806,3.3917,3.2175,3.5893,-29009770496.0,-32935761920,-32600780800,36.3412,39.0787,38.6907
1442.124,532.1603,345.7256,0.7602,427.3102,0.9857,145496,0.7043,1.5393,0.8665,0.803,0.0037,0.0024,0.6448,0.9925,131.6851,131.5246,123.3686,27.3193,21.1407,26.0132,-1.0524,-0.3928,-0.2718,4.2144,3.3318,2.7361,-25619701760.0,-25022607360,-22239576064,65.8422,65.7617,61.6867
2154.021,764.3176,573.2928,0.6614,660.3805,0.9912,345541,0.7709,1.3332,0.9277,0.864,0.0022,0.0017,0.7465,0.9953,103.3877,103.3205,76.3917,29.9227,25.8496,26.6107,-0.1719,0.2455,2.053,2.9109,3.8479,11.0375,-37706264576.0,-36726063104,-20245121024,51.6922,51.6611,38.1958
2561.291,907.5524,701.4491,0.6345,796.1289,0.9957,499948,0.751,1.2938,0.9536,0.8772,0.0018,0.0014,0.7695,0.9956,103.2903,93.5957,89.8023,27.7841,22.2596,29.6129,-0.2143,1.0996,1.42,4.0088,7.7586,7.2485,-53943554048.0,-42596114432,-41443893248,51.6458,46.7982,44.9025
2275.437,859.6257,513.2087,0.8022,662.4777,0.9834,350497,0.7568,1.675,0.8366,0.7707,0.0025,0.0015,0.5939,0.9948,60.0411,60.7612,70.5142,20.9597,23.0358,21.3536,0.918,1.6986,0.533,5.5589,8.2337,3.6791,-11891206144.0,-12558572544,-16406525952,30.019,30.3796,35.2554
